year,country,built_reactors,shutdown_reactors,operating_reactors
1989,ITA,4,2,2
1990,ITA,4,4,0
1991,ITA,4,4,0
1992,ITA,4,4,0
1993,ITA,4,4,0
1994,ITA,4,4,0
1995,ITA,4,4,0
1996,ITA,4,4,0
1997,ITA,4,4,0
1998,ITA,4,4,0
1999,ITA,4,4,0
2000,ITA,4,4,0
2001,ITA,4,4,0
2002,ITA,4,4,0
2003,ITA,4,4,0
2004,ITA,4,4,0
2005,ITA,4,4,0
2006,ITA,4,4,0
2007,ITA,4,4,0
2008,ITA,4,4,0
2009,ITA,4,4,0
2010,ITA,4,4,0
2011,ITA,4,4,0
2012,ITA,4,4,0
2013,ITA,4,4,0
2014,ITA,4,4,0
2015,ITA,4,4,0
2016,ITA,4,4,0
2017,ITA,4,4,0
2018,ITA,4,4,0
2019,ITA,4,4,0
2020,ITA,4,4,0
1963,JPN,1,0,1
1964,JPN,1,0,1
1965,JPN,2,0,2
1966,JPN,2,0,2
1967,JPN,2,0,2
1968,JPN,2,0,2
1969,JPN,3,0,3
1970,JPN,5,0,5
1971,JPN,5,0,5
1972,JPN,6,0,6
1973,JPN,8,0,8
1974,JPN,11,0,11
1975,JPN,13,0,13
1976,JPN,14,1,13
1977,JPN,17,1,16
1978,JPN,22,1,21
1979,JPN,23,1,22
1980,JPN,24,1,23
1981,JPN,26,1,25
1982,JPN,26,1,25
1983,JPN,29,1,28
1984,JPN,32,1,31
1985,JPN,34,1,33
1986,JPN,36,1,35
1987,JPN,37,1,36
1988,JPN,39,1,38
1989,JPN,40,1,39
1990,JPN,42,1,41
1991,JPN,43,1,42
1992,JPN,45,1,44
1993,JPN,49,1,48
1994,JPN,51,1,50
1995,JPN,52,1,51
1996,JPN,55,1,54
1997,JPN,55,1,54
1998,JPN,55,2,53
1999,JPN,55,2,53
2000,JPN,55,2,53
2001,JPN,56,2,54
2002,JPN,56,2,54
2003,JPN,56,3,53
2004,JPN,57,3,54
2005,JPN,59,3,56
2006,JPN,59,3,56
2007,JPN,59,3,56
2008,JPN,59,3,56
2009,JPN,60,5,55
2010,JPN,60,5,55
