year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu,co2,co2_growth_prct,co2_growth_abs,consumption_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,population,GDP,GDP growth,GDP per capita,GDP per capita growth,income per capita,income per capita growth,built_reactors,shutdown_reactors,operating_reactors,nuclear_warheads,accident_cost_MioUSD2013,accident_deaths,research_%GDP,representative_government,fundamental_rights,checks_on_gouvernment,impartial_administration,civil_society_participation
1983,AFG,0.03902178955443165,0.003020932794048925,0.005235,0.022917936760382725,0.0,0.00784792,0.09971280615846947,0.002869886158469484,0.088995,0.0,0.0,0.00784792,2.52,20.26,0.425,,0.201,,0.013999999999999999,38.409,0.009000000000000001,0.073,,,12538000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2808196387601465,0.19502066399291001,0.3957727401002654,0.2656630787923102
1984,AFG,0.03920224040186807,0.003083434773648683,0.005235,0.02298072562821939,0.0,0.00790308,0.09982734303917457,0.002929263039174557,0.088995,0.0,0.0,0.00790308,2.822,11.995999999999999,0.302,,0.231,,0.015,41.231,0.009000000000000001,0.08,,,12204000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2788742285066706,0.1978311183808758,0.3956687220570255,0.2656630787923102
1985,AFG,0.03827496129519434,0.0031459369422514732,0.0,0.02708483435294286,0.0,0.00804419,0.12096783009943253,0.002988640099432511,0.109935,0.0,0.0,0.00804419,3.502,24.075,0.679,,0.293,,0.018000000000000002,44.733000000000004,0.009000000000000001,0.099,,,11938000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2784551638912767,0.1994069775661166,0.3958497206766971,0.2656630787923102
1986,AFG,0.039111198580053776,0.0033334430700537768,0.0,0.02832975751,0.0,0.007447998000000002,0.1205497689211006,0.0031667709211006113,0.109935,0.0,0.0,0.007447998000000002,3.134,-10.503,-0.368,,0.267,,0.015,47.867,0.01,0.086,,,11736000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2781208813994959,0.1974173120587279,0.3962361893462762,0.2656630787923102
1987,AFG,0.06306515769145625,0.0034792812114562447,0.023034,0.02867511248,0.0,0.007876764,0.114835081155632,0.003305317155631996,0.103653,0.0,0.0,0.007876764,3.114,-0.635,-0.02,,0.268,,0.015,50.981,0.01,0.095,,,11605000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2806540819101091,0.1922571041983923,0.3957896409970077,0.2656630787923102
1988,AFG,0.11122078650562646,0.002875094652646459,0.07329,0.02737463585298,0.0,0.007681055999999999,0.1213943959239381,0.0027313399239381,0.110982,0.0,0.0,0.007681055999999999,2.8569999999999998,-8.255,-0.257,,0.24600000000000002,,0.013000000000000001,53.838,0.01,0.095,,,11618000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2342600384065902,0.2803237752137011,0.3251315381099015,0.3949863114963955,0.2656630787923102
1989,AFG,0.10936453856934128,0.002645920349441284,0.07119600000000001,0.0276986182199,0.0,0.007824,0.1192256243355804,0.002513624335580403,0.108888,0.0,0.0,0.007824,2.765,-3.227,-0.092,,0.233,,0.012,56.603,0.01,0.099,,,11869000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2385583337033859,0.28569933298269,0.3245840504531553,0.3951730087704712,0.2656630787923102
1990,AFG,0.10832034143696308,0.0021875719320339653,0.07015067178502912,0.0281181857199,0.0,0.007863911999999999,0.11883270034801532,0.002078193338417891,0.10889059500959744,0.0,0.0,0.007863911999999999,2.602,-5.877000000000001,-0.162,,0.21,,0.012,59.205,0.01,0.096,,,12412000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2294771288146173,0.2293251051973599,0.3349992050346279,0.3882047316074134,0.2656630787923102
1991,AFG,0.047438197758981816,0.001958397817831822,0.011517,0.026408511941150004,0.0,0.007554288,0.020505265929613083,0.0018604779296130755,0.011517,0.0,0.0,0.007127788,2.426,-6.76,-0.17600000000000002,,0.182,,0.011000000000000001,61.632,0.01,0.10099999999999999,,,13299000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2401807085615675,0.2249435600093659,0.3241046627528045,0.3521801406369969,0.2656630787923102
1992,AFG,0.03128176575298239,0.0001666721346023857,0.0110924415,0.01468391411838,0.0,0.005338738000000001,0.016142546028099742,0.0001583385280997425,0.0110924415,0.0,0.0,0.004891766,1.382,-43.065,-1.045,,0.095,,0.006,63.013000000000005,0.01,0.055999999999999994,,,14486000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.240740694773084,0.2010154554263462,,0.2862057266435482,0.2960139107734954
1993,AFG,0.031068733251352468,0.00014583814140246647,0.0110924415,0.01464402360995,0.0,0.00518643,0.016076217734531384,0.00013854623453138476,0.0110924415,0.0,0.0,0.00484523,1.334,-3.452,-0.048,,0.084,,0.006,64.347,0.01,0.073,,,15817000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2003836502865394,0.1889850662541545,0.2000995346936931,0.2960139107734954
